Freq [GHz],Re(Y11) [S],Re(Y22) [S],Re(Y11) load-only [S]
3.223,0.009999999999999998,0.009999999999999997,0.039999999999999994
3.232,0.010000000000000002,0.01,0.04000000000000001
3.241,0.009999999999999998,0.01,0.04
3.25,0.009999999999999998,0.009999999999999998,0.04
3.259,0.010000000000000002,0.009999999999999997,0.04
3.268,0.010000000000000004,0.01,0.04000000000000001
3.277,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.286,0.01,0.010000000000000002,0.04000000000000001
3.295,0.010000000000000004,0.009999999999999998,0.04
3.304,0.009999999999999997,0.010000000000000002,0.04
3.313,0.009999999999999997,0.009999999999999998,0.04
3.322,0.009999999999999997,0.01,0.04
3.331,0.009999999999999998,0.009999999999999997,0.039999999999999994
3.34,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.349,0.009999999999999997,0.01,0.04
3.358,0.009999999999999998,0.01,0.04
3.367,0.009999999999999997,0.01,0.04
3.376,0.009999999999999995,0.01,0.04
3.385,0.010000000000000004,0.009999999999999998,0.04
3.394,0.010000000000000004,0.009999999999999998,0.04
3.403,0.009999999999999997,0.01,0.04
3.412,0.01,0.009999999999999998,0.039999999999999994
3.421,0.009999999999999997,0.01,0.04
3.43,0.009999999999999993,0.01,0.039999999999999994
3.439,0.01,0.01,0.04
3.448,0.010000000000000005,0.01,0.04
3.457,0.010000000000000004,0.01,0.04000000000000001
3.466,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.475,0.010000000000000004,0.009999999999999998,0.04000000000000001
3.484,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.493,0.009999999999999995,0.010000000000000002,0.04
3.502,0.009999999999999998,0.01,0.04
3.511,0.010000000000000002,0.01,0.04
3.52,0.009999999999999997,0.01,0.039999999999999994
3.529,0.010000000000000004,0.010000000000000002,0.04000000000000001
3.538,0.01,0.01,0.039999999999999994
3.547,0.009999999999999992,0.01,0.039999999999999994
3.556,0.010000000000000005,0.009999999999999997,0.039999999999999994
3.565,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.574,0.010000000000000005,0.009999999999999998,0.04
3.583,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.592,0.010000000000000002,0.010000000000000002,0.04000000000000001
3.601,0.010000000000000005,0.009999999999999998,0.04
3.61,0.01,0.01,0.04
3.619,0.01,0.009999999999999997,0.03999999999999999
3.628,0.009999999999999998,0.01,0.04
3.637,0.010000000000000002,0.010000000000000002,0.04
3.646,0.009999999999999998,0.01,0.04
3.655,0.01,0.010000000000000002,0.04
3.664,0.010000000000000002,0.01,0.04000000000000001
3.673,0.010000000000000004,0.010000000000000002,0.04
3.682,0.010000000000000002,0.010000000000000002,0.04000000000000001
3.691,0.010000000000000004,0.009999999999999998,0.04
3.7,0.009999999999999998,0.01,0.04
3.709,0.009999999999999998,0.009999999999999997,0.039999999999999994
3.718,0.010000000000000004,0.01,0.04000000000000001
3.727,0.009999999999999998,0.01,0.04
3.736,0.009999999999999992,0.01,0.039999999999999994
3.745,0.010000000000000005,0.009999999999999998,0.04
3.754,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.763,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.772,0.01,0.01,0.04
3.781,0.009999999999999997,0.009999999999999997,0.039999999999999994
